LCSC Part,First Category,Second Category,MFR.Part,Package,Solder JointManufacturer,Library Type,Description,Datasheet,Stock,Price
C1002,Bead/Filter/EMI Optimization,Ferrite Beads,GZ1608D601TF,0603,2Sunlord,base,450mΩ ±25% 600Ω@100MHz 0603  Ferrite Beads ROHS,https://datasheet.lcsc.com/lcsc/2109180930_Sunlord-GZ1608D601TF_C1002.pdf,348413,"20-180:0.004323944,200-780:0.003521127,1600-9580:0.002788732,800-1580:0.003070423,9600-19980:0.002563380,20000-:0.002436620"
C1015,Bead/Filter/EMI Optimization,Ferrite Beads,GZ2012D101TF,0805,2Sunlord,base,±25% 100Ω@100MHz 0805  Ferrite Beads ROHS,https://datasheet.lcsc.com/lcsc/2111221630_Sunlord-GZ2012D101TF_C1015.pdf,184331,"20-180:0.007605634,200-580:0.006140845,600-1580:0.005338028,19200-:0.004197183,9600-19180:0.004422535,1600-9580:0.004845070"
C1017,Bead/Filter/EMI Optimization,Ferrite Beads,GZ2012D601TF,0805,2Sunlord,base,300mΩ ±25% 600Ω@100MHz 0805  Ferrite Beads ROHS,https://datasheet.lcsc.com/lcsc/2109181830_Sunlord-GZ2012D601TF_C1017.pdf,203789,"20-180:0.008098592,200-580:0.006647887,19200-:0.004154930,600-1580:0.005830986,1600-9580:0.004802817,9600-19180:0.004380282"
C1034,Inductors/Coils/Transformers,Inductors (SMD),SDFL1608Q4R7KTF,0603,2Sunlord,base,15mA 4.7uH ±10% 2.1Ω 0603  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL1608Q4R7KTF_C1034.pdf,53683,"20-180:0.009070423,200-580:0.007352113,600-1580:0.006408451,19200-:0.005070423,9600-19180:0.005338028,1600-9580:0.005830986"
C1035,Inductors/Coils/Transformers,Inductors (SMD),SDFL1608S100KTF,0603,2Sunlord,base,3mA 10uH ±10% 1.85Ω 0603  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL1608S100KTF_C1035.pdf,149765,"20-180:0.009084507,200-580:0.007366197,600-1580:0.006408451,19200-:0.005084507,9600-19180:0.005352113,1600-9580:0.005845070"
C1042,Inductors/Coils/Transformers,Inductors (SMD),SDFL2012Q1R0KTF,0805,2Sunlord,base,50mA 1uH ±10% 400mΩ 0805  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL2012Q1R0KTF_C1042.pdf,23577,"10-90:0.013521127,100-290:0.010957746,300-790:0.009521127,9600-:0.007535211,4800-9590:0.007929577,800-4790:0.008676056"
C1043,Inductors/Coils/Transformers,Inductors (SMD),CMI201209U2R2KT,0805,2FH (Guangdong Fenghua Advanced Tech),base,50mA 2.2uH ±10% 600mΩ 0805  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI201209U2R2KT_C1043.pdf,85575,"20-180:0.004718310,200-580:0.004718310,640-660:0.004619718,680-700:0.004619718,720-:0.004619718,600-620:0.004619718"
C1046,Inductors/Coils/Transformers,Inductors (SMD),SDFL2012S100KTF,0805,2Sunlord,base,15mA 10uH ±10% 1.15Ω 0805  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2110081230_Sunlord-SDFL2012S100KTF_C1046.pdf,92594,"10-90:0.014929577,100-290:0.012112676,300-790:0.010563380,9600-:0.008380282,4800-9590:0.008816901,800-4790:0.009619718"
C1049,Inductors/Coils/Transformers,Inductors (SMD),CMI321609U4R7KT,1206,2FH (Guangdong Fenghua Advanced Tech),base,25mA 4.7uH ±10% 650mΩ 1206  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI321609U4R7KT_C1049.pdf,24009,"15-135:0.009478873,480-495:0.009295775,150-435:0.009478873,510-525:0.009295775,450-465:0.009295775,540-:0.009295775"
C1051,Inductors/Coils/Transformers,Inductors (SMD),CMI321609X100KT,1206,2FH (Guangdong Fenghua Advanced Tech),base,25mA 10uH ±10% 800mΩ 1206  Inductors (SMD) ROHS,https://datasheet.lcsc.com/lcsc/2302231101_FH--Guangdong-Fenghua-Advanced-Tech-CMI321609X100KT_C1051.pdf,86856,"150-435:0.010929577,450-1185:0.009436620,7200-14385:0.007394366,15-135:0.013591549,14400-:0.006971831,1200-7185:0.008154930"
C1523,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B102K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 1nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,859421,"20-180:0.000833803,200-580:0.000663380,600-1980:0.000574648,2000-9980:0.000432394,10040-:0.000377465,10000-10020:0.000377465"
C1525,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL05B104KO5NNNC,0402,2Samsung Electro-Mechanics,base,16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf,8600525,"20-180:0.000805634,200-580:0.000611268,600-1980:0.000509859,2000-9980:0.000463380,10000-10020:0.000401408,10040-:0.000401408"
C1527,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B151K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 150pF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf,62549,"200-580:0.000811268,2000-9980:0.000563380,20000-:0.000535211,10000-19980:0.000545070,20-180:0.000998592,600-1980:0.000676056"
C1530,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B221K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 220pF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf,204102,"10040-:0.000433803,20-180:0.000821127,200-580:0.000639437,2000-9980:0.000491549,10000-10020:0.000433803,600-1980:0.000543662"
C1531,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B222K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 2.2nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B222K500NT_C1531.pdf,307777,"10040-:0.000391549,20-180:0.000814085,600-1980:0.000539437,200-580:0.000633803,2000-9980:0.000449296,10000-10020:0.000391549"
C1532,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B223K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 22nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B223K500NT_C1532.pdf,199909,"10000-10020:0.001108451,200-580:0.001591549,2000-9980:0.001249296,20-180:0.002042254,600-1980:0.001356338,10040-:0.001108451"
C1537,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B471K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 470pF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B471K500NT_C1537.pdf,153426,"20-180:0.000814085,600-1980:0.000538028,200-580:0.000633803,2000-9980:0.000439437,10000-10020:0.000381690,10040-:0.000381690"
C1538,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B472K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 4.7nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B472K500NT_C1538.pdf,277366,"20-180:0.000832394,600-1980:0.000550704,10040-:0.000373239,200-580:0.000647887,2000-9980:0.000432394,10000-10020:0.000373239"
C1542,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B682K500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 6.8nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402B682K500NT_C1542.pdf,86925,"20-180:0.000832394,600-1980:0.000550704,200-580:0.000647887,2000-9980:0.000469014,10000-10020:0.000409859,10040-:0.000409859"
C1546,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG101J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 100pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG101J500NT_C1546.pdf,2102128,"20-180:0.000433803,640-660:0.000422535,680-700:0.000422535,200-580:0.000433803,720-:0.000422535,600-620:0.000422535"
C1547,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG120J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 12pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG120J500NT_C1547.pdf,1092360,"10040-:0.000391549,200-580:0.000632394,2000-9980:0.000447887,10000-10020:0.000391549,20-180:0.000811268,600-1980:0.000538028"
C1548,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG150J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 15pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG150J500NT_C1548.pdf,578976,"20-180:0.000812676,200-580:0.000625352,600-1980:0.000526761,2000-9980:0.000481690,10000-19980:0.000421127,20000-:0.000401408"
C1549,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG180J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 18pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG180J500NT_C1549.pdf,816100,"10040-:0.000374648,200-580:0.000630986,2000-9980:0.000432394,20-180:0.000809859,600-1980:0.000536620,10000-10020:0.000374648"
C1550,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG1R0C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 1pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG1R0C500NT_C1550.pdf,2071695,"20-180:0.000646479,200-580:0.000574648,2000-2020:0.000492958,600-1980:0.000563380,2040-2060:0.000492958,2080-:0.000492958"
C1552,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG1R5C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 1.5pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG1R5C500NT_C1552.pdf,203088,"10040-:0.000391549,20-180:0.000891549,600-1980:0.000590141,10000-10020:0.000391549,200-580:0.000694366,2000-9980:0.000454930"
C1554,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG200J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 20pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG200J500NT_C1554.pdf,2089218,"20-180:0.000738028,200-580:0.000656338,600-1980:0.000642254,2040-2060:0.000563380,2000-2020:0.000563380,2080-:0.000563380"
C1555,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG220J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 22pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG220J500NT_C1555.pdf,1485706,"20-180:0.000832394,600-1980:0.000550704,200-580:0.000647887,2000-9980:0.000469014,10000-10020:0.000411268,10040-:0.000411268"
C1557,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG270J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 27pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG270J500NT_C1557.pdf,138356,"20-180:0.000916901,200-580:0.000732394,600-1980:0.000635211,2000-9980:0.000521127,10040-:0.000461972,10000-10020:0.000461972"
C1559,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG2R2C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 2.2pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG2R2C500NT_C1559.pdf,69519,"20-180:0.001016901,200-580:0.000818310,2000-9980:0.000584507,10000-10020:0.000521127,600-1980:0.000714085,10040-:0.000521127"
C1561,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG2R7C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 2.7pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG2R7C500NT_C1561.pdf,104129,"20-180:0.000900000,600-1980:0.000597183,200-580:0.000701408,2000-9980:0.000463380,10000-10020:0.000400000,10040-:0.000400000"
C1562,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG330J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 33pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG330J500NT_C1562.pdf,646111,"20-180:0.000912676,200-580:0.000742254,600-1980:0.000619718,2000-9980:0.000518310,10000-19980:0.000501408,20000-:0.000492958"
C1565,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG3R3C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 3.3pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG3R3C500NT_C1565.pdf,36678,"20-180:0.001019718,200-580:0.000829577,600-1980:0.000691549,2000-9980:0.000578873,10000-19980:0.000559155,20000-:0.000549296"
C1567,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG470J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 47pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG470J500NT_C1567.pdf,431033,"200-580:0.000652113,2000-9980:0.000464789,10000-10020:0.000405634,20-180:0.000838028,600-1980:0.000554930,10040-:0.000405634"
C1569,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG4R7C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 4.7pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG4R7C500NT_C1569.pdf,227503,"20-180:0.001036620,200-580:0.000846479,600-1980:0.000707042,2000-9980:0.000592958,10000-19980:0.000573239,20000-:0.000563380"
C1570,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG300J500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 30pF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG300J500NT_C1570.pdf,88207,"10000-10020:0.000411268,200-580:0.000698592,2000-9980:0.000471831,10040-:0.000411268,20-180:0.000888732,600-1980:0.000598592"
C1576,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402CG6R8C500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 6.8pF C0G 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402CG6R8C500NT_C1576.pdf,171850,"10040-:0.000423944,20-180:0.000883099,600-1980:0.000584507,200-580:0.000687324,2000-9980:0.000485915,10000-10020:0.000423944"
C1585,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402F333M500NT,0402,2FH (Guangdong Fenghua Advanced Tech),base,50V 33nF Y5V ±20% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0402F333M500NT_C1585.pdf,28775,"20-180:0.002323944,200-580:0.001845070,600-1980:0.001591549,2000-9980:0.001464789,10000-10020:0.001315493,10040-:0.001315493"
C1588,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B102KB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 1nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10B102KB8NNNC_C1588.pdf,4233887,"20-180:0.002563380,9640-:0.001184507,800-1580:0.001521127,9600-9620:0.001184507,200-780:0.001957746,1600-9580:0.001374648"
C1594,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B151K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 150pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B151K500NT_C1594.pdf,92467,"20-180:0.002633803,200-580:0.002056338,600-1980:0.001746479,2000-9980:0.001591549,10000-19980:0.001408451,20000-:0.001347887"
C1595,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B152K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 1.5nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B152K500NT_C1595.pdf,2267756,"800-1580:0.001319718,1600-1620:0.001274648,1680-:0.001274648,20-180:0.001591549,1640-1660:0.001274648,200-780:0.001402817"
C1596,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B153K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 15nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B153K500NT_C1596.pdf,71933,"9600-19980:0.001915493,20-180:0.003676056,200-780:0.002985915,20000-:0.001802817,1600-9580:0.002112676,800-1580:0.002338028"
C1600,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B201K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 200pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B201K500NT_C1600.pdf,49218,"20-180:0.003267606,9640-:0.001507042,200-780:0.002563380,9600-9620:0.001507042,1600-9580:0.001732394,800-1580:0.001901408"
C1603,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B221KB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 220pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10B221KB8NNNC_C1603.pdf,126728,"20-180:0.005014085,200-780:0.004197183,20000-:0.002915493,800-1580:0.003535211,9600-19980:0.003042254,1600-9580:0.003267606"
C1604,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B222K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 2.2nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.pdf,558864,"20-180:0.002253521,9640-:0.001132394,1600-9580:0.001290141,9600-9620:0.001132394,200-780:0.001746479,800-1580:0.001408451"
C1609,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B272K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 2.7nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B272K500NT_C1609.pdf,37999,"9600-9620:0.001121127,20-180:0.002323944,1600-9580:0.001284507,9640-:0.001121127,800-1580:0.001408451,200-780:0.001802817"
C1613,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B332KB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 3.3nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10B332KB8NNNC_C1613.pdf,148997,"20-180:0.005000000,200-780:0.004070423,1600-9580:0.003225352,800-1580:0.003549296,9600-19980:0.002957746,20000-:0.002816901"
C1615,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B334K250NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,25V 330nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B334K250NT_C1615.pdf,48544,"200-580:0.007295775,19200-:0.005154930,20-180:0.008901408,600-1580:0.006408451,1600-9580:0.005873239,9600-19180:0.005408451"
C1620,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B471K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 470pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B471K500NT_C1620.pdf,359531,"1600-9580:0.001257746,9600-9620:0.001104225,800-1580:0.001374648,20-180:0.002197183,9640-:0.001104225,200-780:0.001704225"
C1622,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B473KB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 47nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10B473KB8NNNC_C1622.pdf,269630,"1600-9580:0.003112676,9600-19980:0.002859155,20000-:0.002718310,20-180:0.004816901,200-780:0.003915493,800-1580:0.003422535"
C1623,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10B474KA8NNNC,0603,2Samsung Electro-Mechanics,base,25V 470nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10B474KA8NNNC_C1623.pdf,441322,"20-180:0.006323944,200-780:0.005183099,1600-9580:0.003464789,800-1580:0.003845070,9600-19980:0.003126761,20000-:0.002957746"
C1630,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B681K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 680pF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B681K500NT_C1630.pdf,75685,"9600-9620:0.001094366,1600-9580:0.001254930,800-1580:0.001376056,20-180:0.002281690,9640-:0.001094366,200-780:0.001774648"
C1631,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0603B682K500NT,0603,2FH (Guangdong Fenghua Advanced Tech),base,50V 6.8nF X7R ±10% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603B682K500NT_C1631.pdf,205989,"9640-:0.001229577,20-180:0.002380282,1600-9580:0.001388732,9600-9620:0.001229577,200-780:0.001887324,800-1580:0.001507042"
C1634,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10C100JB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 10pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10C100JB8NNNC_C1634.pdf,318699,"20-180:0.005309859,200-780:0.004450704,20000-:0.003309859,800-1580:0.003971831,9600-19980:0.003436620,1600-9580:0.003690141"
C1644,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10C150JB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 15pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10C150JB8NNNC_C1644.pdf,242131,"20-180:0.004774648,200-580:0.003957746,600-1980:0.003366197,2000-9980:0.002873239,10000-19980:0.002788732,20000-:0.002746479"
C1647,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL10C180JB8NNNC,0603,2Samsung Electro-Mechanics,base,50V 18pF C0G ±5% 0603  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/2304140030_Samsung-Electro-Mechanics-CL10C180JB8NNNC_C1647.pdf,59479,"20-180:0.006352113,200-780:0.005295775,20000-:0.003690141,800-1580:0.004521127,9600-19980:0.003859155,1600-9580:0.004169014"
